day,distance(m)
2023-06-18,3900.0
2023-06-19,1300.0
2023-06-20,3400.0
2023-06-21,1500.0
2023-06-22,1500.0
2023-06-23,3200.0
2023-06-24,3400.0
2023-06-25,4100.0
2023-06-26,3500.0
2023-06-27,2100.0
2023-06-28,2700.0
2023-06-29,2800.0
2023-06-30,2600.0
2023-07-01,2200.0
2023-07-02,1800.0
2023-07-03,2000.0
2023-07-04,2900.0
2023-07-05,4900.0
2023-07-06,5600.0
2023-07-07,5100.0
2023-07-08,7400.0
2023-07-09,5900.0
2023-07-10,11700.0
2023-07-11,6300.0
2023-07-12,9400.0
2023-07-13,5700.0
2023-07-14,5100.0
2023-07-15,13200.0
2023-07-16,4500.0
2023-07-17,5400.0
2023-07-18,6900.0
2023-07-19,6400.0
2023-07-20,3000.0
2023-07-21,2500.0
2023-07-22,11000.0
2023-07-23,8400.0
2023-07-24,3800.0
2023-07-25,5800.0
2023-07-26,7500.0
2023-07-27,6700.0
2023-07-28,14400.0
2023-07-29,12400.0
2023-07-30,1300.0
2023-07-31,14100.0
2023-08-01,6400.0
2023-08-02,9900.0
2023-08-03,11200.0
2023-08-04,5500.0
2023-08-05,1600.0
2023-08-06,2000.0
2023-08-07,5800.0
2023-08-08,2600.0
2023-08-09,2500.0
2023-08-10,7200.0
2023-08-11,7200.0
2023-08-12,11300.0
2023-08-13,11100.0
2023-08-14,8300.0
2023-08-15,4900.0
2023-08-16,4500.0
2023-08-17,8300.0
2023-08-18,7100.0
2023-08-19,7400.0
2023-08-20,1200.0
2023-08-21,5800.0
2023-08-22,4600.0
2023-08-23,3300.0
2023-08-24,2200.0
2023-08-25,3400.0
2023-08-26,9500.0
2023-08-27,9600.0
2023-08-28,3400.0
2023-08-29,5900.0
2023-08-30,6200.0
2023-08-31,7900.0
2023-09-01,3600.0
2023-09-02,4300.0
2023-09-03,1200.0
2023-09-04,1800.0
2023-09-05,3400.0
2023-09-06,1200.0
2023-09-07,1900.0
2023-09-08,10800.0
2023-09-09,2800.0
2023-09-10,2300.0
2023-09-11,8300.0
2023-09-12,5300.0
2023-09-13,789.0
2023-09-14,8000.0
2023-09-15,747.0
2023-09-16,1300.0
2023-09-17,1600.0
2023-09-18,576.0
2023-09-19,5500.0
2023-09-20,6000.0
2023-09-21,1300.0
2023-09-22,4700.0
2023-09-23,3100.0
2023-09-24,2700.0
2023-09-25,3900.0
2023-09-26,6200.0
2023-09-27,7100.0
2023-09-28,9000.0
2023-09-29,8100.0
2023-09-30,5400.0
2023-10-01,1500.0
2023-10-02,6800.0
2023-10-03,5700.0
2023-10-04,5300.0
2023-10-05,5400.0
2023-10-06,6200.0
2023-10-07,4600.0
2023-10-08,3300.0
2023-10-09,1200.0
2023-10-10,3000.0
2023-10-11,379.0
2023-10-12,718.0
2023-10-13,3400.0
2023-10-14,625.0
2023-10-15,743.0
2023-10-16,2200.0
2023-10-17,3100.0
2023-10-18,2000.0
2023-10-19,1400.0
2023-10-20,1500.0
2023-10-21,899.0
2023-10-22,1900.0
2023-10-23,1200.0
2023-10-24,2700.0
2023-10-25,730.0
2023-10-26,1000.0
2023-10-27,495.0
2023-10-28,2800.0
2023-10-29,540.0
2023-10-30,1200.0
2023-10-31,1600.0
2023-11-01,1100.0
2023-11-02,2000.0
2023-11-03,1400.0
2023-11-04,2400.0
2023-11-05,1100.0
2023-11-06,724.0
2023-11-07,3900.0
2023-11-08,2600.0
2023-11-09,1300.0
2023-11-10,1100.0
2023-11-11,706.0
2023-11-12,109.0
2023-11-13,647.0
2023-11-14,683.0
2023-11-15,3300.0
2023-11-16,1100.0
2023-11-17,1900.0
2023-11-18,1000.0
2023-11-19,898.0
2023-11-20,73.0
2023-11-21,738.0
2023-11-22,1200.0
2023-11-23,2200.0
2023-11-24,4000.0
2023-11-25,182.0
2023-11-26,54.0
2023-11-27,1200.0
2023-11-28,2600.0
2023-11-29,295.0
2023-11-30,364.0
2023-12-01,811.0
2023-12-02,113.0
2023-12-03,1800.0
2023-12-04,111.0
2023-12-05,5500.0
2023-12-06,5000.0
2023-12-07,824.0
2023-12-08,416.0
2023-12-09,856.0
2023-12-10,440.0
2023-12-11,2000.0
2023-12-12,3200.0
2023-12-13,2200.0
2023-12-14,6700.0
2023-12-15,937.0
2023-12-16,7300.0
2023-12-17,5700.0
2023-12-18,6300.0
2023-12-19,2900.0
